[2025-08-29 17:55:20] [INFO    ] discord.client: logging in using static token
[2025-08-29 17:55:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-29 17:55:20] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-29 17:55:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1410546172782968835', 'username': 'LowIqBot', 'avatar': 'a239b31eb9e09eddafd7373ae9d46799', 'discriminator': '3210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-29 17:55:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-29 17:55:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-29 17:55:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1410546172782968835', 'name': '11qzBot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1410546172782968835', 'username': 'LowIqBot', 'avatar': 'a239b31eb9e09eddafd7373ae9d46799', 'discriminator': '3210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '30f82ea982e236c7dff05ec53c980608d5439e5cfd58bb047d80c928717ef0d2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '98556949745909760', 'username': '11qz', 'avatar': '9fb50481a466314ba9319fe6838b336f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1305, 'global_name': '11qz', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000519', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-x3hw",{"micros":0.0}]']}}
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'LowIqBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1410546172782968835', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3210', 'clan': None, 'bot': True, 'avatar': 'a239b31eb9e09eddafd7373ae9d46799'}, 'session_type': 'normal', 'session_id': '2b8dec17e5cdeffac93e367e1ac4edf9', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1410550028694589596'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1410546172782968835', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-x3hw",{"micros":212578,"calls":["id_created",{"micros":427,"calls":[]},"session_lookup_time",{"micros":2203,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-prd-2-57",{"micros":209602,"calls":["start_session",{"micros":193573,"calls":["discord-api-rpc-7b6f6479bb-thk82",{"micros":165570,"calls":["get_user",{"micros":5220},"get_guilds",{"micros":5760},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":639},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":18054},"apex_experiments",{"micros":3672},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":30,"calls":[]},"presence_started",{"micros":2171,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":13735,"calls":[]},"connect_finished",{"micros":13739,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-29 17:55:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:21] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2b8dec17e5cdeffac93e367e1ac4edf9).
[2025-08-29 17:55:21] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'embedded_activities': [], 'banner': None, 'hub_type': None, 'profile': None, 'presences': [], 'premium_progress_bar_enabled': False, 'public_updates_channel_id': None, 'nsfw_level': 0, 'nsfw': False, 'moderator_reporting': None, 'explicit_content_filter': 0, 'stickers': [], 'large': False, 'max_members': 25000000, 'afk_channel_id': None, 'roles': [{'version': 1756371733873, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1410550028694589596', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756375160555, 'unicode_emoji': None, 'tags': {'bot_id': '1410546172782968835'}, 'position': 2, 'permissions': '563276639759424', 'name': 'LowIQ', 'mentionable': False, 'managed': True, 'id': '1410550134478999628', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756373780379, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'snake', 'mentionable': False, 'managed': False, 'id': '1410558420192596058', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756375824866, 'unicode_emoji': None, 'tags': {'bot_id': '292953664492929025'}, 'position': 1, 'permissions': '829811966', 'name': 'UnbelievaBoat', 'mentionable': False, 'managed': True, 'id': '1410567188460470397', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'afk_timeout': 300, 'id': '1410550028694589596', 'default_message_notifications': 0, 'system_channel_flags': 0, 'name': "11qz's Test Server", 'emojis': [], 'region': 'deprecated', 'guild_scheduled_events': [], 'inventory_settings': None, 'threads': [], 'members': [{'user': {'username': 'LowIqBot', 'public_flags': 0, 'primary_guild': None, 'id': '1410546172782968835', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3210', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a239b31eb9e09eddafd7373ae9d46799'}, 'roles': ['1410550134478999628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:38.886748+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'incidents_data': None, 'activity_instances': [], 'vanity_url_code': None, 'description': None, 'soundboard_sounds': [], 'application_id': None, 'safety_alerts_channel_id': None, 'owner_id': '98556949745909760', 'discovery_splash': None, 'owner_configured_content_level': 0, 'max_stage_video_channel_users': 50, 'verification_level': 0, 'preferred_locale': 'en-US', 'joined_at': '2025-08-28T09:02:38.886748+00:00', 'home_header': None, 'member_count': 3, 'lazy': True, 'icon': None, 'unavailable': False, 'stage_instances': [], 'latest_onboarding_question_id': None, 'rules_channel_id': None, 'premium_features': None, 'features': [], 'mfa_level': 0, 'channels': [{'version': 1756371733876, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1410550029877248094', 'flags': 0}, {'version': 1756371733883, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1410550029877248095', 'flags': 0}, {'version': 1756371733895, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1410550029877248094', 'name': 'general', 'last_message_id': '1410567200082759720', 'id': '1410550029877248096', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756371733949, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1410550029877248095', 'name': 'General', 'last_message_id': None, 'id': '1410550029877248097', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1756515287059, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1410550029877248094', 'nsfw': False, 'name': 'gamba-test', 'last_message_id': None, 'id': '1411152135554338987', 'flags': 0}], 'version': 1756373728070, 'premium_subscription_count': 0, 'application_command_counts': {}, 'max_video_channel_users': 25, 'system_channel_id': '1410550029877248096', 'voice_states': [], 'splash': None}}
[2025-08-29 17:55:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '81d3c24fd000527b5e66b0d8f5c68e37', 'members': [{'user': {'username': '11qz', 'public_flags': 0, 'primary_guild': None, 'id': '98556949745909760', 'global_name': '11qz', 'display_name_styles': None, 'display_name': '11qz', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9fb50481a466314ba9319fe6838b336f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:13.706000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'UnbelievaBoat', 'public_flags': 589824, 'primary_guild': None, 'id': '292953664492929025', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1046', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e81ffdbb910a3757b874a890b2a92740'}, 'roles': ['1410567188460470397'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T10:10:24.912422+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'LowIqBot', 'public_flags': 0, 'primary_guild': None, 'id': '1410546172782968835', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3210', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a239b31eb9e09eddafd7373ae9d46799'}, 'roles': ['1410550134478999628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:38.886748+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1410550028694589596', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-29 17:55:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:21] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1410550028694589596.
[2025-08-29 17:55:23] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-29 17:55:23] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-29 17:55:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-30T00:55:28.870000+00:00', 'pinned': False, 'nonce': '1411152311241146368', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:13.706000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411152310939291768', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'I want to fuck a jew they are so hot', 'components': [], 'channel_type': 0, 'channel_id': '1411152135554338987', 'author': {'username': '11qz', 'public_flags': 0, 'primary_guild': None, 'id': '98556949745909760', 'global_name': '11qz', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9fb50481a466314ba9319fe6838b336f'}, 'attachments': [], 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:29] [DEBUG   ] discord.client: Dispatching event message
[2025-08-29 17:55:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-30T00:55:29.102000+00:00', 'pinned': False, 'nonce': '14161563734421080068', 'mentions': [{'username': '11qz', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:13.706000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '98556949745909760', 'global_name': '11qz', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9fb50481a466314ba9319fe6838b336f'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1410550134478999628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:38.886748+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411152311912497243', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@98556949745909760> not cool bro...', 'components': [], 'channel_type': 0, 'channel_id': '1411152135554338987', 'author': {'username': 'LowIqBot', 'public_flags': 0, 'primary_guild': None, 'id': '1410546172782968835', 'global_name': None, 'display_name_styles': None, 'discriminator': '3210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a239b31eb9e09eddafd7373ae9d46799'}, 'attachments': [], 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:29] [DEBUG   ] discord.client: Dispatching event message
[2025-08-29 17:55:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1411152135554338987/messages with {"content":"<@98556949745909760> not cool bro...","components":[],"nonce":"14161563734421080068","enforce_nonce":true,"tts":false} has returned 200
[2025-08-29 17:55:29] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-29 17:55:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1411152135554338987/messages has received {'type': 0, 'content': '<@98556949745909760> not cool bro...', 'mentions': [{'id': '98556949745909760', 'username': '11qz', 'avatar': '9fb50481a466314ba9319fe6838b336f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1305, 'global_name': '11qz', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000519', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-30T00:55:29.102000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1411152311912497243', 'channel_id': '1411152135554338987', 'author': {'id': '1410546172782968835', 'username': 'LowIqBot', 'avatar': 'a239b31eb9e09eddafd7373ae9d46799', 'discriminator': '3210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14161563734421080068'}
[2025-08-29 17:55:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-30T00:55:36.514000+00:00', 'pinned': False, 'nonce': '1411152343470178304', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-28T09:02:13.706000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411152343000416318', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'what jew people are hot', 'components': [], 'channel_type': 0, 'channel_id': '1411152135554338987', 'author': {'username': '11qz', 'public_flags': 0, 'primary_guild': None, 'id': '98556949745909760', 'global_name': '11qz', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9fb50481a466314ba9319fe6838b336f'}, 'attachments': [], 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:36] [DEBUG   ] discord.client: Dispatching event message
[2025-08-29 17:55:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1411152343000416318', 'channel_id': '1411152135554338987', 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:40] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-08-29 17:55:40] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-08-29 17:55:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1411152311912497243', 'channel_id': '1411152135554338987', 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:43] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-08-29 17:55:43] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-08-29 17:55:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 9, 'op': 0, 'd': {'id': '1411152310939291768', 'channel_id': '1411152135554338987', 'guild_id': '1410550028694589596'}}
[2025-08-29 17:55:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 17:55:45] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-08-29 17:55:45] [DEBUG   ] discord.client: Dispatching event message_delete
